ROOMS,SUBJ,1ST,2ND,3RD,4TH,5TH
103,RES431,I,G,D,A,K
104,RES431,J,H,E,B,L
PMAEC,RES431,,,F,C,
CL 79,ENGG431,D,A,K,I,G
PHY LAB A,ENGG431,E,B,L,J,H
PHY LAB B,ENGG431,F,C,,,
201,LDM331,A,M,J,G,D
202,LDM331,B,N,K,H,E
203,LDM331,C,O,L,I,F
204,HRP431,G,D,A,K,I
205,HRP431,H,E,B,L,J
206,HRP431,,F,C,,
207,RES331,M,J,G,D,A
208,RES331,N,K,H,E,B
PMAFI,RES331,O,L,I,F,C
209,,,,,, 
CSAFP RM,,,,,,
309,,,,,,
COMP LAB A,GIS231,M,J,G,D,A
COMP LAB B,GIS231,N,K,H,E,B
COMP LAB D,GIS231,O,L,I,F,C
COMP LAB C,,,,,,
COMP LAB E,,,,,,
COMP LAB F,,,,,,
301,ML321,D,A,M,J,G
302,ML321,E,B,N,K,H
303,ML321,F,C,O,L,I
304,MAT231,A,M,J,G,D
305,MAT231,B,N,K,H,E
306,MAT231,C,O,L,I,F
307,OM231,D,A,M,J,G
308,OM231,E,B,N,K,H
310,OM231,F,C,O,L,I
311,SGD231,J,G,D,A,M
312,SGD231,K,H,E,B,N
313,SGD231,L,I,F,C,O
314,MAT133 (Special CI),,,,, 
315,MAT133 (Special CI),,,,, 
316,,,,,,
317,COM101,D,A,M,J,G
318,COM101,E,B,N,K,H
319,COM101,F,C,O,L,I
320,MAT101,A,M,J,G,D
321,MAT101,B,N,K,H,E
322,MAT101,C,O,L,I,F
DGW,AS,,,,, 
DNW,NS,,,,, 
DAW,AFS,,,,, 
